dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,recall_at_k,exact_avg_us,speedup_vs_exact
clustered,identity,mih_m16_b32,mih,4096,64,16,32,10,10,3.499,0.852,1.516,1.068,1.733,659589.8,0.046875,385.528,254.29
clustered,identity,mih_m16_b32,mih,4096,64,16,32,10,20,3.499,0.852,1.731,1.503,1.605,577857.2,0.100000,385.528,222.78
clustered,identity,mih_m16_b32,mih,4096,64,16,32,10,40,3.499,0.852,2.220,2.207,2.506,450507.5,0.125000,385.528,173.68
clustered,identity,mih_m16_b32,mih,4096,64,16,32,10,80,3.499,0.852,3.574,3.306,3.789,279786.3,0.175000,385.528,107.87
clustered,identity,mih_m16_b32,mih,4096,64,16,32,10,160,3.499,0.852,5.001,4.963,5.393,199965.0,0.215625,385.528,77.09
clustered,identity,mih_m16_b32,mih,4096,64,16,32,10,4096,3.499,0.852,46.650,45.983,58.214,21436.1,0.237500,385.528,8.26
clustered,matern,mih_m16_b32,mih,4096,64,16,32,10,10,3.499,0.852,1.017,0.946,1.034,982982.1,0.040625,377.251,370.83
clustered,matern,mih_m16_b32,mih,4096,64,16,32,10,20,3.499,0.852,1.691,1.482,1.561,591519.1,0.053125,377.251,223.15
clustered,matern,mih_m16_b32,mih,4096,64,16,32,10,40,3.499,0.852,2.197,2.203,2.487,455205.0,0.071875,377.251,171.73
clustered,matern,mih_m16_b32,mih,4096,64,16,32,10,80,3.499,0.852,3.531,3.286,3.866,283218.4,0.106250,377.251,106.84
clustered,matern,mih_m16_b32,mih,4096,64,16,32,10,160,3.499,0.852,6.335,5.466,8.820,157863.3,0.134375,377.251,59.55
clustered,matern,mih_m16_b32,mih,4096,64,16,32,10,4096,3.499,0.852,45.130,42.480,65.143,22158.2,0.162500,377.251,8.36
clustered,sobolev,mih_m16_b32,mih,4096,64,16,32,10,10,3.499,0.852,0.938,0.937,1.015,1066524.5,0.031250,370.288,394.92
clustered,sobolev,mih_m16_b32,mih,4096,64,16,32,10,20,3.499,0.852,1.717,1.470,1.550,582496.0,0.084375,370.288,215.69
clustered,sobolev,mih_m16_b32,mih,4096,64,16,32,10,40,3.499,0.852,2.209,2.222,2.381,452610.3,0.106250,370.288,167.60
clustered,sobolev,mih_m16_b32,mih,4096,64,16,32,10,80,3.499,0.852,3.494,3.287,3.618,286181.9,0.121875,370.288,105.97
clustered,sobolev,mih_m16_b32,mih,4096,64,16,32,10,160,3.499,0.852,4.971,4.931,5.317,201161.7,0.159375,370.288,74.49
clustered,sobolev,mih_m16_b32,mih,4096,64,16,32,10,4096,3.499,0.852,44.082,44.485,49.199,22685.0,0.181250,370.288,8.40
clustered,identity,mih_m32_b32,mih,4096,64,32,32,10,10,3.185,1.102,1.661,1.291,1.798,601922.4,0.046875,385.528,232.06
clustered,identity,mih_m32_b32,mih,4096,64,32,32,10,20,3.185,1.102,2.044,1.586,1.780,489334.0,0.103125,385.528,188.65
clustered,identity,mih_m32_b32,mih,4096,64,32,32,10,40,3.185,1.102,2.402,2.438,2.619,416238.5,0.165625,385.528,160.47
clustered,identity,mih_m32_b32,mih,4096,64,32,32,10,80,3.185,1.102,3.491,3.525,3.823,286417.5,0.293750,385.528,110.42
clustered,identity,mih_m32_b32,mih,4096,64,32,32,10,160,3.185,1.102,5.407,5.415,5.786,184959.3,0.390625,385.528,71.31
clustered,identity,mih_m32_b32,mih,4096,64,32,32,10,4096,3.185,1.102,53.271,52.872,62.022,18772.1,0.403125,385.528,7.24
