dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,batch_qps,recall_at_k,exact_avg_us,speedup_vs_exact,fftw
clustered,identity,mih_m16_b32,mih,4096,64,16,32,10,10,2.598,0.852,35.724,29.985,78.979,27992.1,137470.6,0.071875,458.557,12.84,1
clustered,identity,mih_m16_b32,mih,4096,64,16,32,10,20,2.598,0.852,36.173,29.698,79.299,27644.6,135276.2,0.106250,458.557,12.68,1
clustered,identity,mih_m16_b32,mih,4096,64,16,32,10,40,2.598,0.852,65.252,65.347,104.004,15325.1,77121.6,0.171875,458.557,7.03,1
clustered,identity,mih_m16_b32,mih,4096,64,16,32,10,80,2.598,0.852,98.092,81.220,217.640,10194.5,55838.8,0.256250,458.557,4.67,1
clustered,identity,mih_m16_b32,mih,4096,64,16,32,10,160,2.598,0.852,94.438,80.835,193.895,10589.0,54741.5,0.281250,458.557,4.86,1
clustered,identity,mih_m16_b32,mih,4096,64,16,32,10,4096,2.598,0.852,25.697,26.049,28.289,38915.1,88751.3,0.290625,458.557,17.84,1
clustered,matern,mih_m16_b32,mih,4096,64,16,32,10,10,2.598,0.852,37.917,28.001,79.971,26373.0,142505.3,0.065625,454.532,11.99,1
clustered,matern,mih_m16_b32,mih,4096,64,16,32,10,20,2.598,0.852,34.693,27.841,77.891,28824.0,142566.9,0.078125,454.532,13.10,1
clustered,matern,mih_m16_b32,mih,4096,64,16,32,10,40,2.598,0.852,66.666,64.899,105.604,15000.2,80163.5,0.103125,454.532,6.82,1
clustered,matern,mih_m16_b32,mih,4096,64,16,32,10,80,2.598,0.852,93.548,80.067,213.640,10689.7,55841.9,0.131250,454.532,4.86,1
clustered,matern,mih_m16_b32,mih,4096,64,16,32,10,160,2.598,0.852,94.963,81.091,196.232,10530.5,54690.6,0.156250,454.532,4.79,1
clustered,matern,mih_m16_b32,mih,4096,64,16,32,10,4096,2.598,0.852,26.835,25.057,28.609,37264.7,88539.2,0.153125,454.532,16.94,1
clustered,sobolev,mih_m16_b32,mih,4096,64,16,32,10,10,2.598,0.852,34.738,28.673,78.179,28786.6,143755.6,0.062500,459.417,13.23,1
clustered,sobolev,mih_m16_b32,mih,4096,64,16,32,10,20,2.598,0.852,34.720,29.281,79.011,28801.6,138211.6,0.081250,459.417,13.23,1
clustered,sobolev,mih_m16_b32,mih,4096,64,16,32,10,40,2.598,0.852,63.789,65.091,104.676,15676.8,68378.1,0.115625,459.417,7.20,1
clustered,sobolev,mih_m16_b32,mih,4096,64,16,32,10,80,2.598,0.852,92.004,76.643,191.464,10869.1,55785.8,0.156250,459.417,4.99,1
clustered,sobolev,mih_m16_b32,mih,4096,64,16,32,10,160,2.598,0.852,94.609,81.731,194.824,10569.9,53967.4,0.193750,459.417,4.86,1
clustered,sobolev,mih_m16_b32,mih,4096,64,16,32,10,4096,2.598,0.852,26.518,25.729,28.513,37710.2,88117.9,0.187500,459.417,17.32,1
clustered,identity,mih_m32_b32,mih,4096,64,32,32,10,10,2.060,1.102,35.570,30.497,78.883,28113.3,138422.1,0.071875,458.557,12.89,1
clustered,identity,mih_m32_b32,mih,4096,64,32,32,10,20,2.060,1.102,35.079,29.665,79.555,28506.8,140542.6,0.109375,458.557,13.07,1
clustered,identity,mih_m32_b32,mih,4096,64,32,32,10,40,2.060,1.102,64.672,65.314,103.172,15462.5,44488.2,0.215625,458.557,7.09,1
clustered,identity,mih_m32_b32,mih,4096,64,32,32,10,80,2.060,1.102,94.541,80.451,192.295,10577.5,55661.7,0.306250,458.557,4.85,1
clustered,identity,mih_m32_b32,mih,4096,64,32,32,10,160,2.060,1.102,95.699,81.603,194.279,10449.5,54490.9,0.409375,458.557,4.79,1
clustered,identity,mih_m32_b32,mih,4096,64,32,32,10,4096,2.060,1.102,101.601,30.145,35.009,9842.4,65908.3,0.459375,458.557,4.51,1
clustered,matern,mih_m32_b32,mih,4096,64,32,32,10,10,2.060,1.102,36.856,30.146,81.635,27132.3,139037.9,0.065625,454.532,12.33,1
clustered,matern,mih_m32_b32,mih,4096,64,32,32,10,20,2.060,1.102,38.534,30.305,82.980,25950.8,142383.6,0.096875,454.532,11.80,1
clustered,matern,mih_m32_b32,mih,4096,64,32,32,10,40,2.060,1.102,64.972,65.698,103.492,15391.1,80622.4,0.128125,454.532,7.00,1
clustered,matern,mih_m32_b32,mih,4096,64,32,32,10,80,2.060,1.102,96.404,79.972,198.023,10373.0,55764.1,0.159375,454.532,4.71,1
clustered,matern,mih_m32_b32,mih,4096,64,32,32,10,160,2.060,1.102,100.567,80.131,218.409,9943.6,54292.7,0.184375,454.532,4.52,1
clustered,matern,mih_m32_b32,mih,4096,64,32,32,10,4096,2.060,1.102,30.267,30.273,31.842,33039.1,69101.0,0.196875,454.532,15.02,1
clustered,sobolev,mih_m32_b32,mih,4096,64,32,32,10,10,2.060,1.102,34.740,29.825,78.275,28785.0,141457.1,0.062500,459.417,13.22,1
clustered,sobolev,mih_m32_b32,mih,4096,64,32,32,10,20,2.060,1.102,34.912,29.185,78.115,28643.1,136737.5,0.103125,459.417,13.16,1
clustered,sobolev,mih_m32_b32,mih,4096,64,32,32,10,40,2.060,1.102,63.916,65.123,103.556,15645.4,80473.4,0.150000,459.417,7.19,1
clustered,sobolev,mih_m32_b32,mih,4096,64,32,32,10,80,2.060,1.102,96.646,79.171,192.551,10347.1,55624.5,0.209375,459.417,4.75,1
clustered,sobolev,mih_m32_b32,mih,4096,64,32,32,10,160,2.060,1.102,95.341,80.804,193.928,10488.7,53692.1,0.253125,459.417,4.82,1
clustered,sobolev,mih_m32_b32,mih,4096,64,32,32,10,4096,2.060,1.102,29.813,30.018,31.137,33542.2,67057.4,0.287500,459.417,15.41,1
clustered,identity,mih_m32_b64,mih,4096,64,32,64,10,10,3.724,1.641,67.738,63.203,159.334,14762.8,71237.6,0.093750,458.557,6.77,1
clustered,identity,mih_m32_b64,mih,4096,64,32,64,10,20,3.724,1.641,68.059,62.691,153.862,14693.2,72560.9,0.156250,458.557,6.74,1
clustered,identity,mih_m32_b64,mih,4096,64,32,64,10,40,3.724,1.641,131.867,121.860,227.945,7583.4,39610.3,0.228125,458.557,3.48,1
clustered,identity,mih_m32_b64,mih,4096,64,32,64,10,80,3.724,1.641,184.248,154.470,371.087,5427.5,27677.5,0.331250,458.557,2.49,1
clustered,identity,mih_m32_b64,mih,4096,64,32,64,10,160,3.724,1.641,184.889,157.478,366.254,5408.6,26555.9,0.406250,458.557,2.48,1
clustered,identity,mih_m32_b64,mih,4096,64,32,64,10,4096,3.724,1.641,30.306,30.145,32.321,32996.6,56228.1,0.459375,458.557,15.13,1
clustered,matern,mih_m32_b64,mih,4096,64,32,64,10,10,3.724,1.641,66.010,61.282,153.574,15149.3,70668.6,0.087500,454.532,6.89,1
clustered,matern,mih_m32_b64,mih,4096,64,32,64,10,20,3.724,1.641,65.095,59.715,152.550,15362.0,72968.6,0.131250,454.532,6.98,1
clustered,matern,mih_m32_b64,mih,4096,64,32,64,10,40,3.724,1.641,126.063,121.509,212.904,7932.5,39961.7,0.140625,454.532,3.61,1
clustered,matern,mih_m32_b64,mih,4096,64,32,64,10,80,3.724,1.641,183.294,154.086,363.598,5455.7,28007.8,0.178125,454.532,2.48,1
clustered,matern,mih_m32_b64,mih,4096,64,32,64,10,160,3.724,1.641,186.224,156.454,406.863,5369.9,10680.7,0.203125,454.532,2.44,1
clustered,matern,mih_m32_b64,mih,4096,64,32,64,10,4096,3.724,1.641,30.347,30.913,32.386,32952.0,75434.5,0.196875,454.532,14.98,1
clustered,sobolev,mih_m32_b64,mih,4096,64,32,64,10,10,3.724,1.641,80.843,72.739,198.088,12369.6,72687.5,0.087500,459.417,5.68,1
clustered,sobolev,mih_m32_b64,mih,4096,64,32,64,10,20,3.724,1.641,64.774,58.818,152.806,15438.2,73225.0,0.150000,459.417,7.09,1
clustered,sobolev,mih_m32_b64,mih,4096,64,32,64,10,40,3.724,1.641,126.282,123.429,215.592,7918.8,39799.5,0.187500,459.417,3.64,1
clustered,sobolev,mih_m32_b64,mih,4096,64,32,64,10,80,3.724,1.641,184.916,162.311,363.278,5407.9,27659.1,0.240625,459.417,2.48,1
clustered,sobolev,mih_m32_b64,mih,4096,64,32,64,10,160,3.724,1.641,184.220,156.710,373.486,5428.3,27418.0,0.278125,459.417,2.49,1
clustered,sobolev,mih_m32_b64,mih,4096,64,32,64,10,4096,3.724,1.641,95.283,30.785,32.834,10495.1,73580.6,0.287500,459.417,4.82,1
clustered,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,10,3.092,1.641,67.996,60.386,153.670,14706.8,71826.0,0.093750,458.557,6.74,1
clustered,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,20,3.092,1.641,66.335,58.338,154.310,15075.1,72566.1,0.146875,458.557,6.91,1
