dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,batch_qps,recall_at_k,exact_avg_us,speedup_vs_exact,fftw
clustered,identity,mih_m16_b32,mih,8192,256,16,32,10,10,6.243,1.219,16.653,16.193,17.536,60048.1,308249.5,0.043750,3878.607,232.90,1
clustered,identity,mih_m16_b32,mih,8192,256,16,32,10,20,6.243,1.219,19.141,18.049,19.553,52242.8,303755.2,0.060417,3878.607,202.63,1
clustered,identity,mih_m16_b32,mih,8192,256,16,32,10,40,6.243,1.219,25.759,22.689,26.689,38821.4,244130.7,0.068750,3878.607,150.57,1
clustered,identity,mih_m16_b32,mih,8192,256,16,32,10,80,6.243,1.219,88.776,76.707,170.598,11264.3,52688.7,0.100000,3878.607,43.69,1
clustered,identity,mih_m16_b32,mih,8192,256,16,32,10,160,6.243,1.219,98.352,79.619,185.799,10167.5,52590.8,0.125000,3878.607,39.44,1
clustered,identity,mih_m16_b32,mih,8192,256,16,32,10,8192,6.243,1.219,41.952,39.521,41.377,23836.6,55830.5,0.158333,3878.607,92.45,1
clustered,matern,mih_m16_b32,mih,8192,256,16,32,10,10,6.243,1.219,18.291,17.664,19.136,54672.6,310868.7,0.033333,3875.716,211.90,1
clustered,matern,mih_m16_b32,mih,8192,256,16,32,10,20,6.243,1.219,18.155,17.825,19.233,55080.1,309075.2,0.050000,3875.716,213.47,1
clustered,matern,mih_m16_b32,mih,8192,256,16,32,10,40,6.243,1.219,22.782,22.401,24.737,43893.9,245570.8,0.050000,3875.716,170.12,1
clustered,matern,mih_m16_b32,mih,8192,256,16,32,10,80,6.243,1.219,88.428,76.419,155.270,11308.6,52295.6,0.075000,3875.716,43.83,1
clustered,matern,mih_m16_b32,mih,8192,256,16,32,10,160,6.243,1.219,99.139,84.900,186.984,10086.8,45479.0,0.095833,3875.716,39.09,1
clustered,matern,mih_m16_b32,mih,8192,256,16,32,10,8192,6.243,1.219,38.788,39.042,40.706,25781.1,55644.1,0.114583,3875.716,99.92,1
clustered,sobolev,mih_m16_b32,mih,8192,256,16,32,10,10,6.243,1.219,18.346,17.600,19.521,54507.8,314650.9,0.035417,3879.725,211.48,1
clustered,sobolev,mih_m16_b32,mih,8192,256,16,32,10,20,6.243,1.219,18.223,17.889,19.360,54874.6,309777.3,0.045833,3879.725,212.90,1
clustered,sobolev,mih_m16_b32,mih,8192,256,16,32,10,40,6.243,1.219,22.764,22.497,25.057,43928.7,244488.8,0.054167,3879.725,170.43,1
clustered,sobolev,mih_m16_b32,mih,8192,256,16,32,10,80,6.243,1.219,90.409,83.012,172.423,11060.8,53586.6,0.072917,3879.725,42.91,1
clustered,sobolev,mih_m16_b32,mih,8192,256,16,32,10,160,6.243,1.219,97.849,77.603,185.287,10219.8,51709.7,0.091667,3879.725,39.65,1
clustered,sobolev,mih_m16_b32,mih,8192,256,16,32,10,8192,6.243,1.219,39.229,39.394,40.866,25491.4,41062.8,0.122917,3879.725,98.90,1
clustered,identity,mih_m32_b32,mih,8192,256,32,32,10,10,7.527,1.719,19.332,16.321,17.472,51727.5,309330.2,0.043750,3878.607,200.63,1
clustered,identity,mih_m32_b32,mih,8192,256,32,32,10,20,7.527,1.719,18.411,18.176,19.521,54314.3,311191.2,0.062500,3878.607,210.66,1
clustered,identity,mih_m32_b32,mih,8192,256,32,32,10,40,7.527,1.719,23.172,22.753,25.569,43155.1,245490.4,0.077083,3878.607,167.38,1
clustered,identity,mih_m32_b32,mih,8192,256,32,32,10,80,7.527,1.719,88.557,76.675,155.398,11292.2,53082.1,0.114583,3878.607,43.80,1
clustered,identity,mih_m32_b32,mih,8192,256,32,32,10,160,7.527,1.719,98.777,80.291,189.287,10123.8,52460.2,0.160417,3878.607,39.27,1
