dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,batch_qps,recall_at_k,exact_avg_us,speedup_vs_exact,fftw
clustered,identity,mih_m16_b32,mih,8192,256,16,32,10,10,22.795,1.219,16.982,16.288,18.401,58886.2,57136.6,0.043750,3828.191,225.43,0
clustered,identity,mih_m16_b32,mih,8192,256,16,32,10,20,22.795,1.219,18.143,17.824,19.169,55116.9,54949.3,0.060417,3828.191,211.00,0
clustered,identity,mih_m16_b32,mih,8192,256,16,32,10,40,22.795,1.219,22.777,22.465,25.537,43904.4,44859.0,0.068750,3828.191,168.07,0
clustered,identity,mih_m16_b32,mih,8192,256,16,32,10,80,22.795,1.219,90.776,78.723,165.957,11016.2,11260.6,0.100000,3828.191,42.17,0
clustered,identity,mih_m16_b32,mih,8192,256,16,32,10,160,22.795,1.219,99.207,79.394,187.623,10080.0,10285.3,0.125000,3828.191,38.59,0
clustered,identity,mih_m16_b32,mih,8192,256,16,32,10,8192,22.795,1.219,94.427,91.075,123.300,10590.2,10526.2,0.158333,3828.191,40.54,0
clustered,matern,mih_m16_b32,mih,8192,256,16,32,10,10,22.795,1.219,17.753,17.472,18.849,56329.8,57513.4,0.033333,3825.394,215.48,0
clustered,matern,mih_m16_b32,mih,8192,256,16,32,10,20,22.795,1.219,18.027,17.633,19.168,55471.5,56249.5,0.050000,3825.394,212.20,0
clustered,matern,mih_m16_b32,mih,8192,256,16,32,10,40,22.795,1.219,22.597,22.401,24.897,44254.1,45085.5,0.050000,3825.394,169.29,0
clustered,matern,mih_m16_b32,mih,8192,256,16,32,10,80,22.795,1.219,89.574,77.699,164.326,11163.9,11407.5,0.075000,3825.394,42.71,0
clustered,matern,mih_m16_b32,mih,8192,256,16,32,10,160,22.795,1.219,97.520,78.722,187.238,10254.3,10187.9,0.095833,3825.394,39.23,0
clustered,matern,mih_m16_b32,mih,8192,256,16,32,10,8192,22.795,1.219,91.463,87.747,126.372,10933.4,10936.3,0.114583,3825.394,41.82,0
clustered,sobolev,mih_m16_b32,mih,8192,256,16,32,10,10,22.795,1.219,18.007,17.441,19.617,55533.1,57335.3,0.035417,3831.739,212.79,0
clustered,sobolev,mih_m16_b32,mih,8192,256,16,32,10,20,22.795,1.219,17.864,17.600,18.945,55978.7,56380.6,0.045833,3831.739,214.50,0
clustered,sobolev,mih_m16_b32,mih,8192,256,16,32,10,40,22.795,1.219,22.548,22.241,24.833,44349.7,44985.5,0.054167,3831.739,169.94,0
clustered,sobolev,mih_m16_b32,mih,8192,256,16,32,10,80,22.795,1.219,89.355,76.131,156.229,11191.3,11410.4,0.072917,3831.739,42.88,0
clustered,sobolev,mih_m16_b32,mih,8192,256,16,32,10,160,22.795,1.219,97.546,77.666,186.983,10251.6,10284.8,0.091667,3831.739,39.28,0
clustered,sobolev,mih_m16_b32,mih,8192,256,16,32,10,8192,22.795,1.219,94.350,92.195,124.932,10598.8,10528.6,0.122917,3831.739,40.61,0
clustered,identity,mih_m32_b32,mih,8192,256,32,32,10,10,22.104,1.719,16.499,16.032,17.473,60609.0,56904.7,0.043750,3828.191,232.02,0
clustered,identity,mih_m32_b32,mih,8192,256,32,32,10,20,22.104,1.719,18.611,17.985,19.456,53732.7,55373.2,0.062500,3828.191,205.70,0
clustered,identity,mih_m32_b32,mih,8192,256,32,32,10,40,22.104,1.719,23.117,22.816,25.313,43258.6,44267.2,0.077083,3828.191,165.60,0
clustered,identity,mih_m32_b32,mih,8192,256,32,32,10,80,22.104,1.719,92.356,81.347,171.174,10827.6,11135.7,0.114583,3828.191,41.45,0
clustered,identity,mih_m32_b32,mih,8192,256,32,32,10,160,22.104,1.719,100.172,82.275,191.622,9982.8,10088.7,0.160417,3828.191,38.22,0
