dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,recall_at_k,exact_avg_us,speedup_vs_exact
gaussian,identity,mih_m16_b32,mih,4096,64,16,32,10,10,3.355,0.852,3.290,2.517,3.834,303960.0,0.012500,373.862,113.64
gaussian,identity,mih_m16_b32,mih,4096,64,16,32,10,20,3.355,0.852,4.211,3.893,4.141,237476.8,0.031250,373.862,88.78
gaussian,identity,mih_m16_b32,mih,4096,64,16,32,10,40,3.355,0.852,4.728,4.436,4.790,211486.4,0.031250,373.862,79.07
gaussian,identity,mih_m16_b32,mih,4096,64,16,32,10,80,3.355,0.852,5.704,5.593,6.103,175301.2,0.053125,373.862,65.54
gaussian,identity,mih_m16_b32,mih,4096,64,16,32,10,160,3.355,0.852,8.090,7.833,9.176,123616.6,0.046875,373.862,46.22
gaussian,identity,mih_m16_b32,mih,4096,64,16,32,10,4096,3.355,0.852,92.755,93.049,103.772,10781.1,0.034375,373.862,4.03
gaussian,matern,mih_m16_b32,mih,4096,64,16,32,10,10,3.355,0.852,2.366,2.393,2.968,422581.7,0.003125,379.464,160.35
gaussian,matern,mih_m16_b32,mih,4096,64,16,32,10,20,3.355,0.852,3.758,3.727,4.030,266105.6,0.003125,379.464,100.98
gaussian,matern,mih_m16_b32,mih,4096,64,16,32,10,40,3.355,0.852,4.909,4.543,4.966,203706.2,0.000000,379.464,77.30
gaussian,matern,mih_m16_b32,mih,4096,64,16,32,10,80,3.355,0.852,5.879,5.819,6.290,170104.2,0.000000,379.464,64.55
gaussian,matern,mih_m16_b32,mih,4096,64,16,32,10,160,3.355,0.852,8.173,8.196,8.635,122360.6,0.000000,379.464,46.43
gaussian,matern,mih_m16_b32,mih,4096,64,16,32,10,4096,3.355,0.852,94.394,94.233,105.295,10593.9,0.003125,379.464,4.02
gaussian,sobolev,mih_m16_b32,mih,4096,64,16,32,10,10,3.355,0.852,2.381,2.397,3.058,419920.0,0.006250,384.662,161.53
gaussian,sobolev,mih_m16_b32,mih,4096,64,16,32,10,20,3.355,0.852,3.743,3.783,4.037,267167.6,0.009375,384.662,102.77
gaussian,sobolev,mih_m16_b32,mih,4096,64,16,32,10,40,3.355,0.852,4.797,4.394,4.951,208460.9,0.009375,384.662,80.19
gaussian,sobolev,mih_m16_b32,mih,4096,64,16,32,10,80,3.355,0.852,5.690,5.564,6.028,175758.5,0.006250,384.662,67.61
gaussian,sobolev,mih_m16_b32,mih,4096,64,16,32,10,160,3.355,0.852,7.855,7.855,8.469,127303.9,0.003125,384.662,48.97
gaussian,sobolev,mih_m16_b32,mih,4096,64,16,32,10,4096,3.355,0.852,105.648,102.682,142.505,9465.4,0.012500,384.662,3.64
gaussian,identity,mih_m32_b32,mih,4096,64,32,32,10,10,3.661,1.102,4.350,3.056,13.497,229901.6,0.012500,373.862,85.95
gaussian,identity,mih_m32_b32,mih,4096,64,32,32,10,20,3.661,1.102,5.042,4.431,6.786,198343.8,0.037500,373.862,74.15
gaussian,identity,mih_m32_b32,mih,4096,64,32,32,10,40,3.661,1.102,5.917,5.317,7.937,169005.5,0.046875,373.862,63.18
gaussian,identity,mih_m32_b32,mih,4096,64,32,32,10,80,3.661,1.102,7.164,6.286,9.381,139582.6,0.068750,373.862,52.18
gaussian,identity,mih_m32_b32,mih,4096,64,32,32,10,160,3.661,1.102,9.723,8.523,13.243,102850.2,0.096875,373.862,38.45
gaussian,identity,mih_m32_b32,mih,4096,64,32,32,10,4096,3.661,1.102,85.414,83.979,94.874,11707.7,0.178125,373.862,4.38
