dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,batch_qps,recall_at_k,exact_avg_us,speedup_vs_exact,fftw
gaussian,identity,mih_m16_b32,mih,4096,64,16,32,10,10,2.902,0.852,7.591,7.584,8.448,131729.5,586145.0,0.025000,460.347,60.64,1
gaussian,identity,mih_m16_b32,mih,4096,64,16,32,10,20,2.902,0.852,7.357,7.425,8.288,135919.2,801884.4,0.043750,460.347,62.57,1
gaussian,identity,mih_m16_b32,mih,4096,64,16,32,10,40,2.902,0.852,8.057,8.160,9.056,124110.9,743477.1,0.059375,460.347,57.13,1
gaussian,identity,mih_m16_b32,mih,4096,64,16,32,10,80,2.902,0.852,9.214,9.376,10.432,108526.8,645135.3,0.071875,460.347,49.96,1
gaussian,identity,mih_m16_b32,mih,4096,64,16,32,10,160,2.902,0.852,11.529,11.681,12.864,86734.3,481673.8,0.053125,460.347,39.93,1
gaussian,identity,mih_m16_b32,mih,4096,64,16,32,10,4096,2.902,0.852,29.374,23.873,25.345,34043.6,81344.0,0.071875,460.347,15.67,1
gaussian,matern,mih_m16_b32,mih,4096,64,16,32,10,10,2.902,0.852,6.440,6.464,7.200,155274.2,899255.3,0.000000,456.555,70.89,1
gaussian,matern,mih_m16_b32,mih,4096,64,16,32,10,20,2.902,0.852,7.521,7.232,7.681,132956.1,860538.9,0.000000,456.555,60.70,1
gaussian,matern,mih_m16_b32,mih,4096,64,16,32,10,40,2.902,0.852,7.822,7.936,8.800,127839.9,756393.9,0.000000,456.555,58.37,1
gaussian,matern,mih_m16_b32,mih,4096,64,16,32,10,80,2.902,0.852,9.151,9.377,10.272,109273.2,641000.0,0.006250,456.555,49.89,1
gaussian,matern,mih_m16_b32,mih,4096,64,16,32,10,160,2.902,0.852,11.635,11.841,12.960,85944.1,484708.9,0.000000,456.555,39.24,1
gaussian,matern,mih_m16_b32,mih,4096,64,16,32,10,4096,2.902,0.852,23.706,23.777,25.121,42183.6,75520.1,0.003125,456.555,19.26,1
gaussian,sobolev,mih_m16_b32,mih,4096,64,16,32,10,10,2.902,0.852,6.409,6.496,7.040,156025.3,883367.8,0.012500,459.464,71.69,1
gaussian,sobolev,mih_m16_b32,mih,4096,64,16,32,10,20,2.902,0.852,6.768,6.880,7.584,147748.7,862766.2,0.018750,459.464,67.89,1
gaussian,sobolev,mih_m16_b32,mih,4096,64,16,32,10,40,2.902,0.852,8.707,7.841,8.609,114845.6,763905.5,0.015625,459.464,52.77,1
gaussian,sobolev,mih_m16_b32,mih,4096,64,16,32,10,80,2.902,0.852,8.936,9.152,9.729,111902.6,646386.3,0.015625,459.464,51.42,1
gaussian,sobolev,mih_m16_b32,mih,4096,64,16,32,10,160,2.902,0.852,11.216,11.392,12.256,89154.9,508105.9,0.012500,459.464,40.96,1
