dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,batch_qps,recall_at_k,exact_avg_us,speedup_vs_exact,fftw
gaussian,identity,mih_m16_b32,mih,8192,256,16,32,10,10,6.747,1.219,12.622,12.417,13.953,79227.8,416305.3,0.006250,3856.799,305.57,1
gaussian,identity,mih_m16_b32,mih,8192,256,16,32,10,20,6.747,1.219,13.227,12.705,14.752,75601.9,498483.8,0.002083,3856.799,291.58,1
gaussian,identity,mih_m16_b32,mih,8192,256,16,32,10,40,6.747,1.219,13.577,13.633,15.201,73652.8,469318.3,0.004167,3856.799,284.06,1
gaussian,identity,mih_m16_b32,mih,8192,256,16,32,10,80,6.747,1.219,14.516,14.560,16.673,68890.1,432381.8,0.004167,3856.799,265.70,1
gaussian,identity,mih_m16_b32,mih,8192,256,16,32,10,160,6.747,1.219,16.699,16.704,18.465,59882.8,372748.9,0.004167,3856.799,230.96,1
gaussian,identity,mih_m16_b32,mih,8192,256,16,32,10,8192,6.747,1.219,37.690,36.705,38.337,26532.2,46307.4,0.012500,3856.799,102.33,1
gaussian,matern,mih_m16_b32,mih,8192,256,16,32,10,10,6.747,1.219,11.890,11.616,13.153,84101.0,522443.3,0.002083,3852.503,324.00,1
gaussian,matern,mih_m16_b32,mih,8192,256,16,32,10,20,6.747,1.219,11.714,11.745,13.377,85369.6,539356.1,0.002083,3852.503,328.89,1
gaussian,matern,mih_m16_b32,mih,8192,256,16,32,10,40,6.747,1.219,12.887,12.929,14.561,77596.6,496175.3,0.002083,3852.503,298.94,1
gaussian,matern,mih_m16_b32,mih,8192,256,16,32,10,80,6.747,1.219,16.632,14.272,16.417,60125.2,447744.5,0.002083,3852.503,231.63,1
gaussian,matern,mih_m16_b32,mih,8192,256,16,32,10,160,6.747,1.219,17.183,16.577,18.784,58195.9,382637.8,0.002083,3852.503,224.20,1
gaussian,matern,mih_m16_b32,mih,8192,256,16,32,10,8192,6.747,1.219,36.017,35.969,38.210,27764.9,15656.2,0.000000,3852.503,106.96,1
gaussian,sobolev,mih_m16_b32,mih,8192,256,16,32,10,10,6.747,1.219,14.043,13.953,16.161,71208.8,267036.1,0.004167,3850.789,274.21,1
gaussian,sobolev,mih_m16_b32,mih,8192,256,16,32,10,20,6.747,1.219,12.241,11.744,13.793,81691.8,535696.3,0.002083,3850.789,314.58,1
gaussian,sobolev,mih_m16_b32,mih,8192,256,16,32,10,40,6.747,1.219,12.707,12.896,13.985,78696.3,498157.9,0.004167,3850.789,303.04,1
gaussian,sobolev,mih_m16_b32,mih,8192,256,16,32,10,80,6.747,1.219,13.884,14.017,15.233,72026.1,441156.2,0.004167,3850.789,277.36,1
gaussian,sobolev,mih_m16_b32,mih,8192,256,16,32,10,160,6.747,1.219,16.259,16.384,17.793,61505.8,381179.3,0.004167,3850.789,236.85,1
gaussian,sobolev,mih_m16_b32,mih,8192,256,16,32,10,8192,6.747,1.219,39.227,36.289,38.433,25492.3,46314.5,0.000000,3850.789,98.17,1
gaussian,identity,mih_m32_b32,mih,8192,256,32,32,10,10,6.272,1.719,13.018,12.928,15.008,76813.8,507083.3,0.006250,3856.799,296.26,1
gaussian,identity,mih_m32_b32,mih,8192,256,32,32,10,20,6.272,1.719,12.629,12.800,14.400,79181.9,527038.2,0.004167,3856.799,305.39,1
