dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,batch_qps,recall_at_k,exact_avg_us,speedup_vs_exact,fftw
gaussian,identity,mih_m16_b32,mih,8192,256,16,32,10,10,24.807,1.219,13.481,13.184,15.424,74177.8,86928.3,0.006250,3833.519,284.36,0
gaussian,identity,mih_m16_b32,mih,8192,256,16,32,10,20,24.807,1.219,12.708,12.673,13.856,78687.9,83763.3,0.002083,3833.519,301.65,0
gaussian,identity,mih_m16_b32,mih,8192,256,16,32,10,40,24.807,1.219,14.379,14.273,16.289,69545.2,76590.6,0.004167,3833.519,266.60,0
gaussian,identity,mih_m16_b32,mih,8192,256,16,32,10,80,24.807,1.219,15.250,15.393,16.928,65571.7,70662.4,0.004167,3833.519,251.37,0
gaussian,identity,mih_m16_b32,mih,8192,256,16,32,10,160,24.807,1.219,17.263,17.345,18.785,57928.8,61322.6,0.004167,3833.519,222.07,0
gaussian,identity,mih_m16_b32,mih,8192,256,16,32,10,8192,24.807,1.219,129.016,128.549,129.925,7751.0,7779.2,0.012500,3833.519,29.71,0
gaussian,matern,mih_m16_b32,mih,8192,256,16,32,10,10,24.807,1.219,14.436,14.497,16.609,69269.0,90320.5,0.002083,3828.334,265.18,0
gaussian,matern,mih_m16_b32,mih,8192,256,16,32,10,20,24.807,1.219,11.458,11.329,13.056,87277.5,86878.1,0.002083,3828.334,334.13,0
gaussian,matern,mih_m16_b32,mih,8192,256,16,32,10,40,24.807,1.219,12.586,12.576,13.665,79450.7,80284.2,0.002083,3828.334,304.16,0
gaussian,matern,mih_m16_b32,mih,8192,256,16,32,10,80,24.807,1.219,13.905,13.984,15.361,71915.9,72890.9,0.002083,3828.334,275.32,0
gaussian,matern,mih_m16_b32,mih,8192,256,16,32,10,160,24.807,1.219,16.392,16.288,18.400,61005.8,61731.5,0.002083,3828.334,233.55,0
gaussian,matern,mih_m16_b32,mih,8192,256,16,32,10,8192,24.807,1.219,130.753,128.868,141.540,7648.0,7612.7,0.000000,3828.334,29.28,0
gaussian,sobolev,mih_m16_b32,mih,8192,256,16,32,10,10,24.807,1.219,13.606,13.505,15.233,73498.1,91432.6,0.004167,3832.644,281.69,0
gaussian,sobolev,mih_m16_b32,mih,8192,256,16,32,10,20,24.807,1.219,11.445,11.392,12.769,87373.9,88513.5,0.002083,3832.644,334.87,0
gaussian,sobolev,mih_m16_b32,mih,8192,256,16,32,10,40,24.807,1.219,12.568,12.576,13.824,79568.7,80482.4,0.004167,3832.644,304.96,0
gaussian,sobolev,mih_m16_b32,mih,8192,256,16,32,10,80,24.807,1.219,13.828,13.793,15.296,72318.0,72019.5,0.004167,3832.644,277.17,0
gaussian,sobolev,mih_m16_b32,mih,8192,256,16,32,10,160,24.807,1.219,16.239,16.257,17.761,61581.9,62066.1,0.004167,3832.644,236.02,0
gaussian,sobolev,mih_m16_b32,mih,8192,256,16,32,10,8192,24.807,1.219,127.921,127.716,129.093,7817.3,7747.1,0.000000,3832.644,29.96,0
gaussian,identity,mih_m32_b32,mih,8192,256,32,32,10,10,24.050,1.719,13.556,13.664,14.880,73765.6,85986.5,0.006250,3833.519,282.78,0
gaussian,identity,mih_m32_b32,mih,8192,256,32,32,10,20,24.050,1.719,13.292,13.056,14.592,75234.5,80603.5,0.004167,3833.519,288.41,0
gaussian,identity,mih_m32_b32,mih,8192,256,32,32,10,40,24.050,1.719,14.886,14.977,16.353,67178.0,73646.2,0.006250,3833.519,257.53,0
