dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,recall_at_k,exact_avg_us,speedup_vs_exact
rough,identity,mih_m16_b32,mih,4096,64,16,32,10,10,3.413,0.852,1.547,1.011,1.813,646242.7,0.181250,384.877,248.72
rough,identity,mih_m16_b32,mih,4096,64,16,32,10,20,3.413,0.852,1.698,1.566,1.774,588917.3,0.246875,384.877,226.66
rough,identity,mih_m16_b32,mih,4096,64,16,32,10,40,3.413,0.852,2.311,2.323,2.693,432660.5,0.356250,384.877,166.52
rough,identity,mih_m16_b32,mih,4096,64,16,32,10,80,3.413,0.852,3.461,3.523,4.340,288913.0,0.428125,384.877,111.20
rough,identity,mih_m16_b32,mih,4096,64,16,32,10,160,3.413,0.852,5.569,5.493,6.827,179556.4,0.518750,384.877,69.11
rough,identity,mih_m16_b32,mih,4096,64,16,32,10,4096,3.413,0.852,70.457,67.824,86.646,14193.0,0.575000,384.877,5.46
rough,matern,mih_m16_b32,mih,4096,64,16,32,10,10,3.413,0.852,0.998,0.953,1.101,1001941.3,0.171875,376.793,377.52
rough,matern,mih_m16_b32,mih,4096,64,16,32,10,20,3.413,0.852,1.532,1.535,1.687,652821.4,0.228125,376.793,245.98
rough,matern,mih_m16_b32,mih,4096,64,16,32,10,40,3.413,0.852,2.300,2.307,2.642,434824.0,0.281250,376.793,163.84
rough,matern,mih_m16_b32,mih,4096,64,16,32,10,80,3.413,0.852,3.658,3.598,4.199,273401.5,0.309375,376.793,103.02
rough,matern,mih_m16_b32,mih,4096,64,16,32,10,160,3.413,0.852,9.312,9.051,12.330,107390.5,0.325000,376.793,40.46
rough,matern,mih_m16_b32,mih,4096,64,16,32,10,4096,3.413,0.852,80.583,76.138,89.352,12409.6,0.350000,376.793,4.68
rough,sobolev,mih_m16_b32,mih,4096,64,16,32,10,10,3.413,0.852,1.013,1.014,1.133,987593.4,0.175000,395.869,390.96
rough,sobolev,mih_m16_b32,mih,4096,64,16,32,10,20,3.413,0.852,1.527,1.526,1.718,654865.4,0.231250,395.869,259.24
rough,sobolev,mih_m16_b32,mih,4096,64,16,32,10,40,3.413,0.852,2.272,2.284,2.629,440159.0,0.321875,395.869,174.25
rough,sobolev,mih_m16_b32,mih,4096,64,16,32,10,80,3.413,0.852,3.320,3.253,4.119,301202.0,0.381250,395.869,119.24
rough,sobolev,mih_m16_b32,mih,4096,64,16,32,10,160,3.413,0.852,5.586,5.519,7.021,179024.0,0.459375,395.869,70.87
rough,sobolev,mih_m16_b32,mih,4096,64,16,32,10,4096,3.413,0.852,70.121,67.646,77.606,14261.0,0.500000,395.869,5.65
rough,identity,mih_m32_b32,mih,4096,64,32,32,10,10,3.256,1.102,1.649,1.134,1.917,606543.1,0.181250,384.877,233.44
rough,identity,mih_m32_b32,mih,4096,64,32,32,10,20,3.256,1.102,1.720,1.640,1.981,581437.6,0.253125,384.877,223.78
rough,identity,mih_m32_b32,mih,4096,64,32,32,10,40,3.256,1.102,2.477,2.476,2.953,403719.3,0.381250,384.877,155.38
rough,identity,mih_m32_b32,mih,4096,64,32,32,10,80,3.256,1.102,3.990,3.611,4.305,250605.0,0.493750,384.877,96.45
rough,identity,mih_m32_b32,mih,4096,64,32,32,10,160,3.256,1.102,6.851,6.340,8.519,145954.1,0.612500,384.877,56.17
rough,identity,mih_m32_b32,mih,4096,64,32,32,10,4096,3.256,1.102,84.513,80.419,105.256,11832.5,0.706250,384.877,4.55
rough,matern,mih_m32_b32,mih,4096,64,32,32,10,10,3.256,1.102,1.080,1.079,1.193,925845.6,0.171875,376.793,348.85
rough,matern,mih_m32_b32,mih,4096,64,32,32,10,20,3.256,1.102,1.575,1.593,1.712,635059.2,0.240625,376.793,239.29
rough,matern,mih_m32_b32,mih,4096,64,32,32,10,40,3.256,1.102,3.083,2.568,3.704,324343.0,0.331250,376.793,122.21
rough,matern,mih_m32_b32,mih,4096,64,32,32,10,80,3.256,1.102,3.712,3.724,4.388,269410.2,0.390625,376.793,101.51
rough,matern,mih_m32_b32,mih,4096,64,32,32,10,160,3.256,1.102,6.031,6.085,6.985,165802.2,0.456250,376.793,62.47
rough,matern,mih_m32_b32,mih,4096,64,32,32,10,4096,3.256,1.102,79.780,77.832,97.397,12534.5,0.506250,376.793,4.72
rough,sobolev,mih_m32_b32,mih,4096,64,32,32,10,10,3.256,1.102,1.045,1.046,1.147,956794.7,0.175000,395.869,378.77
rough,sobolev,mih_m32_b32,mih,4096,64,32,32,10,20,3.256,1.102,1.572,1.549,1.753,636081.7,0.240625,395.869,251.81
rough,sobolev,mih_m32_b32,mih,4096,64,32,32,10,40,3.256,1.102,2.386,2.409,2.733,419056.6,0.350000,395.869,165.89
rough,sobolev,mih_m32_b32,mih,4096,64,32,32,10,80,3.256,1.102,3.559,3.526,4.190,280972.9,0.437500,395.869,111.23
rough,sobolev,mih_m32_b32,mih,4096,64,32,32,10,160,3.256,1.102,5.854,5.875,6.791,170826.1,0.559375,395.869,67.62
rough,sobolev,mih_m32_b32,mih,4096,64,32,32,10,4096,3.256,1.102,78.388,75.597,85.692,12757.1,0.646875,395.869,5.05
rough,identity,mih_m32_b64,mih,4096,64,32,64,10,10,5.207,1.641,2.693,1.420,2.284,371315.9,0.181250,384.877,142.91
rough,identity,mih_m32_b64,mih,4096,64,32,64,10,20,5.207,1.641,1.860,1.868,2.032,537670.5,0.284375,384.877,206.94
rough,identity,mih_m32_b64,mih,4096,64,32,64,10,40,5.207,1.641,3.473,2.912,4.341,287956.2,0.434375,384.877,110.83
rough,identity,mih_m32_b64,mih,4096,64,32,64,10,80,5.207,1.641,4.092,4.202,4.511,244386.7,0.540625,384.877,94.06
rough,identity,mih_m32_b64,mih,4096,64,32,64,10,160,5.207,1.641,6.544,6.632,7.319,152822.7,0.625000,384.877,58.82
rough,identity,mih_m32_b64,mih,4096,64,32,64,10,4096,5.207,1.641,79.743,76.701,91.092,12540.3,0.706250,384.877,4.83
rough,matern,mih_m32_b64,mih,4096,64,32,64,10,10,5.207,1.641,1.332,1.324,1.456,750662.7,0.178125,376.793,282.84
rough,matern,mih_m32_b64,mih,4096,64,32,64,10,20,5.207,1.641,1.802,1.820,1.942,554842.7,0.265625,376.793,209.06
rough,matern,mih_m32_b64,mih,4096,64,32,64,10,40,5.207,1.641,2.845,2.791,3.040,351520.9,0.375000,376.793,132.45
rough,matern,mih_m32_b64,mih,4096,64,32,64,10,80,5.207,1.641,3.981,3.998,4.464,251187.3,0.446875,376.793,94.65
