dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,batch_qps,recall_at_k,exact_avg_us,speedup_vs_exact,fftw
rough,identity,mih_m16_b32,mih,4096,64,16,32,10,10,2.810,0.852,37.046,37.954,48.962,26993.1,127367.2,0.265625,455.722,12.30,1
rough,identity,mih_m16_b32,mih,4096,64,16,32,10,20,2.810,0.852,38.138,38.466,50.786,26220.2,126834.6,0.409375,455.722,11.95,1
rough,identity,mih_m16_b32,mih,4096,64,16,32,10,40,2.810,0.852,50.500,51.330,72.483,19802.0,101190.3,0.484375,455.722,9.02,1
rough,identity,mih_m16_b32,mih,4096,64,16,32,10,80,2.810,0.852,111.583,103.524,207.208,8961.9,44731.0,0.543750,455.722,4.08,1
rough,identity,mih_m16_b32,mih,4096,64,16,32,10,160,2.810,0.852,135.154,132.997,226.697,7399.0,32722.3,0.568750,455.722,3.37,1
rough,identity,mih_m16_b32,mih,4096,64,16,32,10,4096,2.810,0.852,24.263,24.289,25.825,41215.1,78109.7,0.621875,455.722,18.78,1
rough,matern,mih_m16_b32,mih,4096,64,16,32,10,10,2.810,0.852,37.835,38.305,50.946,26430.3,140701.4,0.221875,458.188,12.11,1
rough,matern,mih_m16_b32,mih,4096,64,16,32,10,20,2.810,0.852,38.337,38.305,51.458,26084.8,142019.6,0.306250,458.188,11.95,1
rough,matern,mih_m16_b32,mih,4096,64,16,32,10,40,2.810,0.852,49.787,50.306,72.067,20085.6,104587.5,0.343750,458.188,9.20,1
rough,matern,mih_m16_b32,mih,4096,64,16,32,10,80,2.810,0.852,108.944,106.596,199.944,9179.0,44533.8,0.353125,458.188,4.21,1
rough,matern,mih_m16_b32,mih,4096,64,16,32,10,160,2.810,0.852,134.447,133.637,227.017,7437.9,34192.6,0.331250,458.188,3.41,1
rough,matern,mih_m16_b32,mih,4096,64,16,32,10,4096,2.810,0.852,92.952,24.993,27.073,10758.3,73699.9,0.318750,458.188,4.93,1
rough,sobolev,mih_m16_b32,mih,4096,64,16,32,10,10,2.810,0.852,43.772,39.330,57.122,22845.8,139894.4,0.246875,460.274,10.52,1
rough,sobolev,mih_m16_b32,mih,4096,64,16,32,10,20,2.810,0.852,37.692,38.018,50.273,26530.5,141197.4,0.381250,460.274,12.21,1
rough,sobolev,mih_m16_b32,mih,4096,64,16,32,10,40,2.810,0.852,50.498,51.074,71.587,19802.8,104839.7,0.428125,460.274,9.11,1
rough,sobolev,mih_m16_b32,mih,4096,64,16,32,10,80,2.810,0.852,108.923,108.228,192.808,9180.8,44677.0,0.478125,460.274,4.23,1
rough,sobolev,mih_m16_b32,mih,4096,64,16,32,10,160,2.810,0.852,134.169,133.413,226.217,7453.3,26412.1,0.481250,460.274,3.43,1
rough,sobolev,mih_m16_b32,mih,4096,64,16,32,10,4096,2.810,0.852,24.486,24.673,25.729,40839.7,77654.8,0.515625,460.274,18.80,1
rough,identity,mih_m32_b32,mih,4096,64,32,32,10,10,2.203,1.102,38.903,39.873,51.970,25705.3,137565.2,0.265625,455.722,11.71,1
rough,identity,mih_m32_b32,mih,4096,64,32,32,10,20,2.203,1.102,38.396,38.977,51.746,26044.0,138326.3,0.418750,455.722,11.87,1
rough,identity,mih_m32_b32,mih,4096,64,32,32,10,40,2.203,1.102,50.894,51.586,73.475,19648.7,103440.7,0.534375,455.722,8.95,1
rough,identity,mih_m32_b32,mih,4096,64,32,32,10,80,2.203,1.102,111.146,108.132,199.688,8997.2,44978.4,0.625000,455.722,4.10,1
rough,identity,mih_m32_b32,mih,4096,64,32,32,10,160,2.203,1.102,136.625,133.541,223.209,7319.3,33564.8,0.656250,455.722,3.34,1
rough,identity,mih_m32_b32,mih,4096,64,32,32,10,4096,2.203,1.102,39.411,29.185,31.586,25373.9,56767.6,0.709375,455.722,11.56,1
rough,matern,mih_m32_b32,mih,4096,64,32,32,10,10,2.203,1.102,38.341,39.138,51.618,26081.4,140365.0,0.221875,458.188,11.95,1
rough,matern,mih_m32_b32,mih,4096,64,32,32,10,20,2.203,1.102,38.510,38.850,51.906,25967.0,139386.8,0.350000,458.188,11.90,1
rough,matern,mih_m32_b32,mih,4096,64,32,32,10,40,2.203,1.102,50.706,51.586,73.347,19721.5,103773.5,0.406250,458.188,9.04,1
rough,matern,mih_m32_b32,mih,4096,64,32,32,10,80,2.203,1.102,113.170,109.637,193.831,8836.2,44205.0,0.465625,458.188,4.05,1
rough,matern,mih_m32_b32,mih,4096,64,32,32,10,160,2.203,1.102,136.178,134.886,228.521,7343.3,33591.8,0.475000,458.188,3.36,1
rough,matern,mih_m32_b32,mih,4096,64,32,32,10,4096,2.203,1.102,29.997,29.985,31.585,33336.5,56703.2,0.484375,458.188,15.27,1
rough,sobolev,mih_m32_b32,mih,4096,64,32,32,10,10,2.203,1.102,38.127,39.298,50.690,26227.8,139678.8,0.246875,460.274,12.07,1
rough,sobolev,mih_m32_b32,mih,4096,64,32,32,10,20,2.203,1.102,38.736,38.817,51.778,25815.4,131435.7,0.403125,460.274,11.88,1
rough,sobolev,mih_m32_b32,mih,4096,64,32,32,10,40,2.203,1.102,48.938,49.186,70.147,20434.1,103827.3,0.493750,460.274,9.41,1
rough,sobolev,mih_m32_b32,mih,4096,64,32,32,10,80,2.203,1.102,114.494,111.460,207.816,8734.1,43873.4,0.571875,460.274,4.02,1
rough,sobolev,mih_m32_b32,mih,4096,64,32,32,10,160,2.203,1.102,136.506,135.589,228.393,7325.7,33286.5,0.600000,460.274,3.37,1
rough,sobolev,mih_m32_b32,mih,4096,64,32,32,10,4096,2.203,1.102,29.017,29.089,31.105,34462.4,56367.6,0.625000,460.274,15.86,1
rough,identity,mih_m32_b64,mih,4096,64,32,64,10,10,4.052,1.641,42.295,41.698,49.730,23643.6,119099.9,0.421875,455.722,10.77,1
rough,identity,mih_m32_b64,mih,4096,64,32,64,10,20,4.052,1.641,43.129,42.785,50.626,23186.4,123162.7,0.575000,455.722,10.57,1
rough,identity,mih_m32_b64,mih,4096,64,32,64,10,40,4.052,1.641,60.717,63.330,72.515,16469.8,88539.2,0.662500,455.722,7.51,1
rough,identity,mih_m32_b64,mih,4096,64,32,64,10,80,4.052,1.641,169.667,162.406,244.553,5893.9,30504.3,0.712500,455.722,2.69,1
rough,identity,mih_m32_b64,mih,4096,64,32,64,10,160,4.052,1.641,271.347,252.042,395.120,3685.3,17331.6,0.718750,455.722,1.68,1
rough,identity,mih_m32_b64,mih,4096,64,32,64,10,4096,4.052,1.641,29.363,29.185,30.977,34056.3,56732.2,0.709375,455.722,15.52,1
rough,matern,mih_m32_b64,mih,4096,64,32,64,10,10,4.052,1.641,43.208,42.402,51.170,23144.0,122785.1,0.403125,458.188,10.60,1
rough,matern,mih_m32_b64,mih,4096,64,32,64,10,20,4.052,1.641,42.868,43.041,49.570,23327.6,124218.8,0.490625,458.188,10.69,1
rough,matern,mih_m32_b64,mih,4096,64,32,64,10,40,4.052,1.641,58.799,60.899,68.738,17007.0,89075.5,0.509375,458.188,7.79,1
rough,matern,mih_m32_b64,mih,4096,64,32,64,10,80,4.052,1.641,167.672,159.334,237.001,5964.0,24255.0,0.506250,458.188,2.73,1
rough,matern,mih_m32_b64,mih,4096,64,32,64,10,160,4.052,1.641,281.152,266.058,419.729,3556.8,16963.7,0.490625,458.188,1.63,1
rough,matern,mih_m32_b64,mih,4096,64,32,64,10,4096,4.052,1.641,29.638,30.081,31.105,33740.3,56584.5,0.484375,458.188,15.46,1
rough,sobolev,mih_m32_b64,mih,4096,64,32,64,10,10,4.052,1.641,43.061,42.465,50.818,23223.1,122125.3,0.421875,460.274,10.69,1
rough,sobolev,mih_m32_b64,mih,4096,64,32,64,10,20,4.052,1.641,42.442,42.337,49.282,23561.8,125120.2,0.550000,460.274,10.84,1
rough,sobolev,mih_m32_b64,mih,4096,64,32,64,10,40,4.052,1.641,62.760,61.922,73.475,15933.6,89147.2,0.609375,460.274,7.33,1
rough,sobolev,mih_m32_b64,mih,4096,64,32,64,10,80,4.052,1.641,167.524,158.470,237.929,5969.3,30504.3,0.643750,460.274,2.75,1
rough,sobolev,mih_m32_b64,mih,4096,64,32,64,10,160,4.052,1.641,275.240,255.818,404.239,3633.2,17179.7,0.637500,460.274,1.67,1
rough,sobolev,mih_m32_b64,mih,4096,64,32,64,10,4096,4.052,1.641,28.940,29.186,30.369,34554.1,54949.0,0.625000,460.274,15.90,1
rough,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,10,2.958,1.641,44.982,43.970,53.090,22231.3,120506.0,0.421875,455.722,10.13,1
rough,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,20,2.958,1.641,43.364,43.393,50.498,23060.8,122514.3,0.550000,455.722,10.51,1
rough,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,40,2.958,1.641,44.677,43.906,51.586,22383.0,121207.5,0.650000,455.722,10.20,1
rough,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,80,2.958,1.641,106.350,103.844,125.925,9402.9,48847.7,0.706250,455.722,4.29,1
rough,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,160,2.958,1.641,263.734,251.818,401.200,3791.7,16156.0,0.709375,455.722,1.73,1
rough,identity,hybrid_m32_b64,hybrid,4096,64,32,64,10,4096,2.958,1.641,39.917,29.505,31.873,25052.3,56664.6,0.709375,455.722,11.42,1
rough,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,10,2.958,1.641,44.172,42.658,53.186,22638.9,122499.3,0.403125,458.188,10.37,1
rough,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,20,2.958,1.641,42.565,42.530,50.114,23493.7,124095.5,0.478125,458.188,10.76,1
rough,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,40,2.958,1.641,43.854,43.490,50.914,22803.1,121886.7,0.509375,458.188,10.45,1
rough,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,80,2.958,1.641,105.421,103.460,124.772,9485.8,48933.8,0.509375,458.188,4.35,1
rough,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,160,2.958,1.641,263.630,251.242,419.344,3793.2,17626.4,0.493750,458.188,1.74,1
rough,matern,hybrid_m32_b64,hybrid,4096,64,32,64,10,4096,2.958,1.641,30.419,29.281,31.970,32874.0,54936.8,0.484375,458.188,15.06,1
rough,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,10,2.958,1.641,43.029,42.498,51.106,23240.3,105381.0,0.421875,460.274,10.70,1
rough,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,20,2.958,1.641,41.364,40.705,49.218,24175.8,123148.0,0.534375,460.274,11.13,1
rough,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,40,2.958,1.641,47.605,43.714,52.866,21006.3,115789.7,0.603125,460.274,9.67,1
rough,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,80,2.958,1.641,106.002,104.260,124.709,9433.8,49285.8,0.637500,460.274,4.34,1
rough,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,160,2.958,1.641,263.469,250.762,403.951,3795.5,17315.7,0.650000,460.274,1.75,1
rough,sobolev,hybrid_m32_b64,hybrid,4096,64,32,64,10,4096,2.958,1.641,29.348,29.473,31.137,34073.7,57000.7,0.625000,460.274,15.68,1
rough,identity,gray_m32_b32,gray,4096,64,32,32,10,10,1.572,0.570,2.153,2.144,2.496,464454.7,2557544.8,0.240625,455.722,211.66,1
rough,identity,gray_m32_b32,gray,4096,64,32,32,10,20,1.572,0.570,2.476,2.496,2.752,403856.8,2178500.9,0.331250,455.722,184.05,1
rough,identity,gray_m32_b32,gray,4096,64,32,32,10,40,1.572,0.570,3.036,3.136,3.360,329370.6,1795231.4,0.365625,455.722,150.10,1
rough,identity,gray_m32_b32,gray,4096,64,32,32,10,80,1.572,0.570,4.124,4.097,4.640,242473.8,1278721.3,0.425000,455.722,110.50,1
rough,identity,gray_m32_b32,gray,4096,64,32,32,10,160,1.572,0.570,6.244,6.240,6.785,160147.3,845979.0,0.490625,455.722,72.98,1
rough,identity,gray_m32_b32,gray,4096,64,32,32,10,4096,1.572,0.570,28.796,28.865,30.370,34726.9,55504.1,0.709375,455.722,15.83,1
rough,matern,gray_m32_b32,gray,4096,64,32,32,10,10,1.572,0.570,1.821,1.824,1.984,549120.5,2801120.4,0.200000,458.188,251.60,1
rough,matern,gray_m32_b32,gray,4096,64,32,32,10,20,1.572,0.570,2.300,2.304,2.592,434764.9,2136609.5,0.275000,458.188,199.20,1
rough,matern,gray_m32_b32,gray,4096,64,32,32,10,40,1.572,0.570,2.938,2.944,3.168,340353.1,1703486.8,0.296875,458.188,155.95,1
rough,matern,gray_m32_b32,gray,4096,64,32,32,10,80,1.572,0.570,4.092,4.064,4.480,244368.1,1220954.6,0.337500,458.188,111.97,1
rough,matern,gray_m32_b32,gray,4096,64,32,32,10,160,1.572,0.570,6.394,6.400,7.008,156390.5,763905.5,0.365625,458.188,71.66,1
rough,matern,gray_m32_b32,gray,4096,64,32,32,10,4096,1.572,0.570,28.858,28.865,30.561,34652.3,57173.4,0.484375,458.188,15.88,1
rough,sobolev,gray_m32_b32,gray,4096,64,32,32,10,10,1.572,0.570,1.784,1.760,1.952,560528.3,2702702.7,0.209375,460.274,258.00,1
