dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,batch_qps,recall_at_k,exact_avg_us,speedup_vs_exact,fftw
rough,identity,mih_m16_b32,mih,8192,256,16,32,10,10,6.922,1.219,36.273,36.097,44.929,27568.9,156930.4,0.262500,3969.812,109.44,1
rough,identity,mih_m16_b32,mih,8192,256,16,32,10,20,6.922,1.219,37.997,37.314,47.426,26318.0,161544.4,0.337500,3969.812,104.48,1
rough,identity,mih_m16_b32,mih,8192,256,16,32,10,40,6.922,1.219,49.909,50.114,60.642,20036.4,123006.6,0.406250,3969.812,79.54,1
rough,identity,mih_m16_b32,mih,8192,256,16,32,10,80,6.922,1.219,116.894,109.092,162.182,8554.8,46133.6,0.437500,3969.812,33.96,1
rough,identity,mih_m16_b32,mih,8192,256,16,32,10,160,6.922,1.219,207.974,216.585,280.843,4808.3,26617.4,0.479167,3969.812,19.09,1
rough,identity,mih_m16_b32,mih,8192,256,16,32,10,8192,6.922,1.219,38.513,37.090,39.233,25965.4,44806.5,0.462500,3969.812,103.08,1
rough,matern,mih_m16_b32,mih,8192,256,16,32,10,10,6.922,1.219,36.862,35.554,46.529,27128.1,160610.9,0.245833,3961.003,107.45,1
rough,matern,mih_m16_b32,mih,8192,256,16,32,10,20,6.922,1.219,37.358,36.705,47.362,26768.0,154442.1,0.308333,3961.003,106.03,1
rough,matern,mih_m16_b32,mih,8192,256,16,32,10,40,6.922,1.219,49.378,48.962,60.546,20252.0,82947.5,0.366667,3961.003,80.22,1
rough,matern,mih_m16_b32,mih,8192,256,16,32,10,80,6.922,1.219,117.981,109.765,162.022,8476.0,48936.1,0.412500,3961.003,33.57,1
rough,matern,mih_m16_b32,mih,8192,256,16,32,10,160,6.922,1.219,221.880,228.616,292.587,4506.9,25369.4,0.425000,3961.003,17.85,1
rough,matern,mih_m16_b32,mih,8192,256,16,32,10,8192,6.922,1.219,37.306,37.634,39.297,26805.3,45241.7,0.395833,3961.003,106.18,1
rough,sobolev,mih_m16_b32,mih,8192,256,16,32,10,10,6.922,1.219,37.771,37.121,46.370,26475.5,161387.9,0.254167,3956.181,104.74,1
