dataset,weight,config,search,N,D,Mcoef,nbits,k,ef,build_ms,memory_mb,avg_us,p50_us,p95_us,qps,batch_qps,recall_at_k,exact_avg_us,speedup_vs_exact,fftw
rough,identity,mih_m16_b32,mih,8192,256,16,32,10,10,23.752,1.219,37.146,36.866,45.986,26920.9,26822.2,0.262500,3835.875,103.27,0
rough,identity,mih_m16_b32,mih,8192,256,16,32,10,20,23.752,1.219,38.161,37.122,46.914,26205.0,26632.6,0.337500,3835.875,100.52,0
rough,identity,mih_m16_b32,mih,8192,256,16,32,10,40,23.752,1.219,50.623,48.866,61.346,19753.9,20016.7,0.406250,3835.875,75.77,0
rough,identity,mih_m16_b32,mih,8192,256,16,32,10,80,23.752,1.219,118.459,109.380,171.014,8441.7,8654.8,0.437500,3835.875,32.38,0
rough,identity,mih_m16_b32,mih,8192,256,16,32,10,160,23.752,1.219,217.275,230.184,284.202,4602.5,4632.8,0.479167,3835.875,17.65,0
rough,identity,mih_m16_b32,mih,8192,256,16,32,10,8192,23.752,1.219,130.835,130.980,134.084,7643.2,7631.7,0.462500,3835.875,29.32,0
rough,matern,mih_m16_b32,mih,8192,256,16,32,10,10,23.752,1.219,37.613,36.417,47.298,26586.4,27349.4,0.245833,3840.897,102.12,0
rough,matern,mih_m16_b32,mih,8192,256,16,32,10,20,23.752,1.219,37.337,36.225,45.537,26783.4,26981.4,0.308333,3840.897,102.87,0
rough,matern,mih_m16_b32,mih,8192,256,16,32,10,40,23.752,1.219,49.446,48.898,60.130,20224.2,20579.4,0.366667,3840.897,77.68,0
rough,matern,mih_m16_b32,mih,8192,256,16,32,10,80,23.752,1.219,116.649,108.131,164.133,8572.7,8678.9,0.412500,3840.897,32.93,0
rough,matern,mih_m16_b32,mih,8192,256,16,32,10,160,23.752,1.219,217.509,229.320,283.209,4597.5,4664.6,0.425000,3840.897,17.66,0
rough,matern,mih_m16_b32,mih,8192,256,16,32,10,8192,23.752,1.219,130.618,130.757,132.996,7655.9,7633.9,0.395833,3840.897,29.41,0
rough,sobolev,mih_m16_b32,mih,8192,256,16,32,10,10,23.752,1.219,37.756,36.641,47.585,26485.9,27419.9,0.254167,3835.628,101.59,0
rough,sobolev,mih_m16_b32,mih,8192,256,16,32,10,20,23.752,1.219,37.193,36.802,46.081,26887.1,26949.4,0.322917,3835.628,103.13,0
rough,sobolev,mih_m16_b32,mih,8192,256,16,32,10,40,23.752,1.219,48.977,47.490,59.138,20417.8,20524.2,0.389583,3835.628,78.31,0
rough,sobolev,mih_m16_b32,mih,8192,256,16,32,10,80,23.752,1.219,116.924,107.715,164.229,8552.6,8666.5,0.431250,3835.628,32.80,0
rough,sobolev,mih_m16_b32,mih,8192,256,16,32,10,160,23.752,1.219,215.809,228.936,280.873,4633.7,4642.7,0.472917,3835.628,17.77,0
rough,sobolev,mih_m16_b32,mih,8192,256,16,32,10,8192,23.752,1.219,130.630,130.788,133.349,7655.2,7592.8,0.456250,3835.628,29.36,0
rough,identity,mih_m32_b32,mih,8192,256,32,32,10,10,23.216,1.719,37.661,36.737,48.130,26552.5,26989.2,0.262500,3835.875,101.85,0
rough,identity,mih_m32_b32,mih,8192,256,32,32,10,20,23.216,1.719,38.551,37.537,48.770,25939.5,26473.8,0.352083,3835.875,99.50,0
rough,identity,mih_m32_b32,mih,8192,256,32,32,10,40,23.216,1.719,50.970,49.889,61.826,19619.5,20030.8,0.462500,3835.875,75.26,0
rough,identity,mih_m32_b32,mih,8192,256,32,32,10,80,23.216,1.719,119.609,110.116,168.710,8360.6,8604.9,0.539583,3835.875,32.07,0
rough,identity,mih_m32_b32,mih,8192,256,32,32,10,160,23.216,1.719,219.213,232.136,284.809,4561.8,4591.2,0.593750,3835.875,17.50,0
rough,identity,mih_m32_b32,mih,8192,256,32,32,10,8192,23.216,1.719,183.254,182.982,186.342,5456.9,5492.3,0.595833,3835.875,20.93,0
rough,matern,mih_m32_b32,mih,8192,256,32,32,10,10,23.216,1.719,38.790,38.081,48.641,25779.9,27156.3,0.245833,3840.897,99.02,0
rough,matern,mih_m32_b32,mih,8192,256,32,32,10,20,23.216,1.719,37.347,36.353,45.954,26776.2,26847.2,0.318750,3840.897,102.84,0
rough,matern,mih_m32_b32,mih,8192,256,32,32,10,40,23.216,1.719,49.666,49.154,59.874,20134.4,20271.5,0.408333,3840.897,77.33,0
rough,matern,mih_m32_b32,mih,8192,256,32,32,10,80,23.216,1.719,117.665,109.444,161.637,8498.7,8552.1,0.464583,3840.897,32.64,0
rough,matern,mih_m32_b32,mih,8192,256,32,32,10,160,23.216,1.719,219.040,230.407,283.786,4565.4,4558.3,0.500000,3840.897,17.54,0
rough,matern,mih_m32_b32,mih,8192,256,32,32,10,8192,23.216,1.719,182.806,182.086,187.751,5470.3,5484.4,0.493750,3840.897,21.01,0
rough,sobolev,mih_m32_b32,mih,8192,256,32,32,10,10,23.216,1.719,38.709,37.890,47.650,25833.6,27190.2,0.254167,3835.628,99.09,0
rough,sobolev,mih_m32_b32,mih,8192,256,32,32,10,20,23.216,1.719,37.431,37.218,46.081,26716.1,26723.7,0.335417,3835.628,102.47,0
rough,sobolev,mih_m32_b32,mih,8192,256,32,32,10,40,23.216,1.719,49.440,48.001,59.682,20226.7,20327.8,0.433333,3835.628,77.58,0
rough,sobolev,mih_m32_b32,mih,8192,256,32,32,10,80,23.216,1.719,117.011,108.740,162.981,8546.2,8503.6,0.500000,3835.628,32.78,0
rough,sobolev,mih_m32_b32,mih,8192,256,32,32,10,160,23.216,1.719,219.356,230.472,282.985,4558.8,4594.9,0.552083,3835.628,17.49,0
rough,sobolev,mih_m32_b32,mih,8192,256,32,32,10,8192,23.216,1.719,182.585,182.342,185.606,5476.9,5497.3,0.552083,3835.628,21.01,0
rough,identity,mih_m32_b64,mih,8192,256,32,64,10,10,41.001,2.313,40.969,40.226,47.266,24408.5,25067.7,0.364583,3835.875,93.63,0
